Instance,Bound,Incumbent
barman-opt14-strips-p536-2,18.0,18.0
barman-opt14-strips-p536-3,18.0,18.0
barman-opt14-strips-p638-1,20.0,20.0
barman-opt14-strips-p638-2,21.0,21.0
barman-opt14-strips-p638-3,21.0,21.0
barman-opt14-strips-p739-1,22.0,22.0
barman-opt14-strips-p739-2,22.0,22.0
barman-opt14-strips-p739-3,22.0,22.0
barman-opt14-strips-p839-1,24.0,24.0
barman-opt14-strips-p839-2,24.0,24.0
barman-sat11-strips-pfile06-021,62.0,62.0
barman-sat11-strips-pfile06-022,63.0,63.0
barman-sat11-strips-pfile06-023,51.0,51.0
barman-sat11-strips-pfile06-024,62.0,62.0
barman-sat11-strips-pfile07-025,65.0,65.0
barman-sat11-strips-pfile07-026,64.0,64.0
barman-sat11-strips-pfile07-027,64.0,64.0
barman-sat11-strips-pfile07-028,65.0,65.0
barman-sat11-strips-pfile08-029,67.0,67.0
barman-sat11-strips-pfile08-030,68.0,68.0
barman-sat11-strips-pfile08-031,67.0,67.0
barman-sat11-strips-pfile08-032,67.0,67.0
barman-sat11-strips-pfile09-033,69.0,69.0
barman-sat11-strips-pfile09-034,69.0,69.0
barman-sat11-strips-pfile09-035,69.0,69.0
barman-sat11-strips-pfile09-036,69.0,69.0
barman-sat11-strips-pfile10-037,70.0,70.0
barman-sat11-strips-pfile10-038,70.0,70.0
barman-sat11-strips-pfile10-039,70.0,70.0
barman-sat11-strips-pfile10-040,71.0,71.0
barman-sat14-strips-p1-11-4-15,34.0,34.0
barman-sat14-strips-p1-11-5-15,36.0,36.0
barman-sat14-strips-p1-11-5-16,38.0,38.0
barman-sat14-strips-p2-10-4-13,31.0,31.0
barman-sat14-strips-p2-11-4-15,34.0,34.0
barman-sat14-strips-p2-11-5-15,37.0,37.0
barman-sat14-strips-p2-11-5-16,37.0,37.0
barman-sat14-strips-p2-11-5-17,38.0,38.0
barman-sat14-strips-p3-10-4-13,31.0,31.0
barman-sat14-strips-p3-11-4-15,34.0,34.0
barman-sat14-strips-p3-11-5-15,36.0,36.0
barman-sat14-strips-p3-11-5-16,38.0,38.0
barman-sat14-strips-p3-11-5-17,38.0,38.0
barman-sat14-strips-p4-11-4-14,33.0,33.0
barman-sat14-strips-p4-11-4-15,34.0,34.0
barman-sat14-strips-p4-11-5-15,36.0,36.0
barman-sat14-strips-p5-10-4-13,31.0,31.0
barman-sat14-strips-p5-11-4-15,34.0,34.0
barman-sat14-strips-p5-11-5-15,36.0,36.0
barman-sat14-strips-p5-11-5-16,37.0,37.0
blocks-probBLOCKS-10-0,18.0,18.0
blocks-probBLOCKS-10-1,19.0,19.0
blocks-probBLOCKS-10-2,19.0,19.0
blocks-probBLOCKS-11-0,19.0,19.0
blocks-probBLOCKS-11-1,21.0,21.0
blocks-probBLOCKS-11-2,19.0,19.0
blocks-probBLOCKS-12-0,22.0,22.0
blocks-probBLOCKS-12-1,22.0,22.0
blocks-probBLOCKS-13-0,24.0,24.0
blocks-probBLOCKS-13-1,25.0,25.0
blocks-probBLOCKS-14-0,25.0,25.0
blocks-probBLOCKS-14-1,27.0,27.0
blocks-probBLOCKS-15-0,28.0,28.0
blocks-probBLOCKS-15-1,28.0,28.0
blocks-probBLOCKS-16-1,31.0,31.0
blocks-probBLOCKS-16-2,28.0,28.0
blocks-probBLOCKS-17-0,33.0,33.0
blocks-probBLOCKS-4-0,6.0,6.0
blocks-probBLOCKS-4-1,6.0,6.0
blocks-probBLOCKS-4-2,6.0,6.0
blocks-probBLOCKS-5-0,8.0,8.0
blocks-probBLOCKS-5-1,7.0,7.0
blocks-probBLOCKS-5-2,9.0,9.0
blocks-probBLOCKS-6-0,11.0,11.0
blocks-probBLOCKS-6-1,10.0,10.0
blocks-probBLOCKS-6-2,11.0,11.0
blocks-probBLOCKS-7-0,13.0,13.0
blocks-probBLOCKS-7-1,12.0,12.0
blocks-probBLOCKS-7-2,12.0,12.0
