Instance,Bound,Incumbent
freecell-probfreecell-8-5,45.0,45.0
freecell-probfreecell-9-1,47.0,47.0
freecell-probfreecell-9-2,44.0,44.0
freecell-probfreecell-9-3,44.0,44.0
freecell-probfreecell-9-4,48.0,48.0
freecell-probfreecell-9-5,51.0,51.0
ged-opt14-strips-d-1-2,1.0,1.0
ged-opt14-strips-d-1-3,1.0,1.0
ged-opt14-strips-d-1-4,1.0,1.0
ged-opt14-strips-d-1-8,1.0,1.0
ged-opt14-strips-d-2-1,1.0,1.0
ged-opt14-strips-d-2-3,1.0,1.0
ged-opt14-strips-d-2-4,1.0,1.0
ged-opt14-strips-d-2-8,1.0,1.0
ged-opt14-strips-d-3-1,1.0,1.0
ged-opt14-strips-d-3-2,1.0,1.0
ged-opt14-strips-d-3-4,1.0,1.0
ged-opt14-strips-d-4-2,1.0,1.0
ged-opt14-strips-d-4-3,1.0,1.0
ged-opt14-strips-d-4-8,1.0,1.0
ged-opt14-strips-d-7-5,1.0,1.0
ged-opt14-strips-d-7-6,0.0,0.0
ged-opt14-strips-d-8-1,1.0,1.0
ged-opt14-strips-d-8-2,1.0,1.0
ged-opt14-strips-d-8-4,1.0,1.0
ged-opt14-strips-d-8-9,1.0,1.0
ged-sat14-strips-d-10-1,1.0,1.0
ged-sat14-strips-d-10-2,1.0,1.0
ged-sat14-strips-d-10-3,1.0,1.0
ged-sat14-strips-d-10-4,1.0,1.0
ged-sat14-strips-d-10-5,1.0,1.0
ged-sat14-strips-d-10-6,1.0,1.0
ged-sat14-strips-d-11-1,1.0,1.0
ged-sat14-strips-d-11-3,1.0,1.0
ged-sat14-strips-d-11-5,1.0,1.0
ged-sat14-strips-d-11-6,1.0,1.0
ged-sat14-strips-d-12-11,1.0,1.0
ged-sat14-strips-d-12-2,1.0,1.0
ged-sat14-strips-d-12-3,1.0,1.0
ged-sat14-strips-d-12-5,1.0,1.0
ged-sat14-strips-d-12-6,1.0,1.0
ged-sat14-strips-d-12-7,1.0,1.0
ged-sat14-strips-d-12-8,1.0,1.0
ged-sat14-strips-d-12-9,1.0,1.0
ged-sat14-strips-d-3-6,1.0,1.0
ged-sat14-strips-d-9-5,1.0,1.0
grid-prob01,10.0,10.0
grid-prob02,20.0,20.0
grid-prob03,26.0,26.0
grid-prob04,23.0,23.0
grid-prob05,50.0,50.0
gripper-prob01,9.0,9.0
gripper-prob02,13.0,13.0
gripper-prob03,17.0,17.0
gripper-prob04,21.0,21.0
gripper-prob05,25.0,25.0
gripper-prob06,29.0,29.0
gripper-prob07,33.0,33.0
gripper-prob08,37.0,37.0
gripper-prob09,41.0,41.0
gripper-prob10,45.0,45.0
gripper-prob11,49.0,49.0
gripper-prob12,53.0,53.0
gripper-prob13,57.0,57.0
gripper-prob14,61.0,61.0
gripper-prob15,65.0,65.0
gripper-prob16,69.0,69.0
gripper-prob17,73.0,73.0
gripper-prob18,77.0,77.0
gripper-prob19,81.0,81.0
gripper-prob20,85.0,85.0
hiking-agl14-strips-testing-3-4-3,9.0,9.0
hiking-agl14-strips-testing-3-4-4,13.0,13.0
hiking-agl14-strips-testing-3-4-5,17.0,17.0
hiking-agl14-strips-testing-3-4-6,21.0,21.0
hiking-agl14-strips-testing-3-4-7,25.0,25.0
hiking-agl14-strips-testing-3-4-8,29.0,29.0
hiking-agl14-strips-testing-3-4-9,33.0,33.0
hiking-agl14-strips-testing-4-5-3,11.0,11.0
hiking-agl14-strips-testing-4-5-4,16.0,16.0
hiking-agl14-strips-testing-4-5-5,21.0,21.0
hiking-agl14-strips-testing-4-5-6,26.0,26.0
hiking-agl14-strips-testing-4-5-7,31.0,31.0
hiking-agl14-strips-testing-4-5-8,36.0,36.0
hiking-agl14-strips-testing-4-5-9,41.0,41.0
hiking-agl14-strips-testing-5-6-3,13.0,13.0
hiking-agl14-strips-testing-5-6-4,19.0,19.0
hiking-agl14-strips-testing-5-6-5,25.0,25.0
hiking-agl14-strips-testing-5-6-6,31.0,31.0
hiking-agl14-strips-testing-5-6-7,37.0,37.0
hiking-agl14-strips-testing-5-6-8,43.0,43.0
hiking-opt14-strips-ptesting-1-2-3,5.0,5.0
hiking-opt14-strips-ptesting-1-2-4,7.0,7.0
hiking-opt14-strips-ptesting-1-2-5,9.0,9.0
hiking-opt14-strips-ptesting-1-2-7,13.0,13.0
hiking-opt14-strips-ptesting-1-2-8,15.0,15.0
hiking-opt14-strips-ptesting-2-2-3,7.0,7.0
hiking-opt14-strips-ptesting-2-2-4,10.0,10.0
hiking-opt14-strips-ptesting-2-2-5,13.0,13.0
hiking-opt14-strips-ptesting-2-2-6,16.0,16.0
hiking-opt14-strips-ptesting-2-2-7,19.0,19.0
hiking-opt14-strips-ptesting-2-2-8,22.0,22.0
hiking-opt14-strips-ptesting-2-3-4,10.0,10.0
hiking-opt14-strips-ptesting-2-3-5,13.0,13.0
hiking-opt14-strips-ptesting-2-3-6,16.0,16.0
hiking-opt14-strips-ptesting-2-3-7,19.0,19.0
hiking-opt14-strips-ptesting-2-4-3,7.0,7.0
hiking-opt14-strips-ptesting-2-4-4,10.0,10.0
hiking-opt14-strips-ptesting-2-4-5,13.0,13.0
hiking-opt14-strips-ptesting-2-4-6,16.0,16.0
hiking-opt14-strips-ptesting-2-4-7,19.0,19.0
hiking-sat14-strips-ptesting-1-2-7,13.0,13.0
hiking-sat14-strips-ptesting-1-2-8,15.0,15.0
hiking-sat14-strips-ptesting-2-2-6,16.0,16.0
hiking-sat14-strips-ptesting-2-2-7,19.0,19.0
hiking-sat14-strips-ptesting-2-2-8,22.0,22.0
hiking-sat14-strips-ptesting-2-3-6,16.0,16.0
hiking-sat14-strips-ptesting-2-3-7,19.0,19.0
hiking-sat14-strips-ptesting-2-3-8,22.0,22.0
hiking-sat14-strips-ptesting-2-4-5,13.0,13.0
hiking-sat14-strips-ptesting-2-4-6,16.0,16.0
hiking-sat14-strips-ptesting-2-4-7,19.0,19.0
hiking-sat14-strips-ptesting-2-4-8,22.0,22.0
hiking-sat14-strips-ptesting-3-3-5,17.0,17.0
hiking-sat14-strips-ptesting-3-3-6,21.0,21.0
hiking-sat14-strips-ptesting-3-3-7,25.0,25.0
hiking-sat14-strips-ptesting-3-3-8,29.0,29.0
hiking-sat14-strips-ptesting-3-4-5,17.0,17.0
hiking-sat14-strips-ptesting-3-4-6,21.0,21.0
hiking-sat14-strips-ptesting-3-4-7,25.0,25.0
hiking-sat14-strips-ptesting-3-4-8,29.0,29.0
logistics00-probLOGISTICS-10-0,41.0,41.0
logistics00-probLOGISTICS-10-1,39.0,39.0
logistics00-probLOGISTICS-11-0,45.0,45.0
logistics00-probLOGISTICS-11-1,55.0,55.0
logistics00-probLOGISTICS-12-0,39.0,39.0
logistics00-probLOGISTICS-12-1,63.0,63.0
logistics00-probLOGISTICS-13-0,67.0,67.0
logistics00-probLOGISTICS-13-1,57.0,57.0
logistics00-probLOGISTICS-14-0,55.0,55.0
logistics00-probLOGISTICS-14-1,67.0,67.0
logistics00-probLOGISTICS-15-0,71.0,71.0
logistics00-probLOGISTICS-15-1,63.0,63.0
logistics00-probLOGISTICS-4-0,19.0,19.0
logistics00-probLOGISTICS-4-1,17.0,17.0
logistics00-probLOGISTICS-4-2,13.0,13.0
logistics00-probLOGISTICS-5-0,25.0,25.0
logistics00-probLOGISTICS-5-1,15.0,15.0
logistics00-probLOGISTICS-5-2,8.0,8.0
logistics00-probLOGISTICS-6-0,23.0,23.0
logistics00-probLOGISTICS-6-1,13.0,13.0
logistics00-probLOGISTICS-6-2,23.0,23.0
logistics00-probLOGISTICS-6-9,21.0,21.0
logistics00-probLOGISTICS-7-0,33.0,33.0
logistics00-probLOGISTICS-7-1,39.0,39.0
logistics00-probLOGISTICS-8-0,29.0,29.0
logistics00-probLOGISTICS-8-1,41.0,41.0
logistics00-probLOGISTICS-9-0,33.0,33.0
logistics00-probLOGISTICS-9-1,29.0,29.0
logistics98-prob01,24.0,24.0
logistics98-prob02,28.0,28.0
logistics98-prob03,50.0,50.0
logistics98-prob04,53.0,53.0
logistics98-prob05,22.0,22.0
logistics98-prob06,65.0,65.0
logistics98-prob07,29.0,29.0
logistics98-prob08,37.0,37.0
logistics98-prob09,75.0,75.0
logistics98-prob10,93.0,93.0
logistics98-prob11,27.0,27.0
logistics98-prob12,37.0,37.0
logistics98-prob13,65.0,65.0
logistics98-prob14,80.0,80.0
logistics98-prob15,82.0,82.0
logistics98-prob16,52.0,52.0
logistics98-prob17,42.0,42.0
logistics98-prob18,152.0,152.0
logistics98-prob19,130.0,130.0
logistics98-prob20,128.0,128.0
logistics98-prob21,95.0,95.0
logistics98-prob22,252.0,252.0
logistics98-prob23,99.0,99.0
logistics98-prob24,39.0,39.0
logistics98-prob25,177.0,177.0
logistics98-prob26,175.0,175.0
logistics98-prob27,135.0,135.0
logistics98-prob28,243.0,243.0
logistics98-prob29,274.0,274.0
logistics98-prob30,124.0,124.0
logistics98-prob31,12.0,12.0
logistics98-prob32,18.0,18.0
logistics98-prob33,25.0,25.0
logistics98-prob34,42.0,42.0
logistics98-prob35,29.0,29.0
miconic-s1-0,3.0,3.0
miconic-s1-1,3.0,3.0
miconic-s1-2,3.0,3.0
miconic-s1-3,3.0,3.0
miconic-s1-4,3.0,3.0
miconic-s10-0,33.0,33.0
miconic-s10-1,32.0,32.0
miconic-s10-2,31.0,31.0
miconic-s10-3,34.0,34.0
miconic-s10-4,32.0,32.0
miconic-s11-0,36.0,36.0
miconic-s11-1,34.0,34.0
miconic-s11-2,37.0,37.0
miconic-s11-3,37.0,37.0
miconic-s11-4,34.0,34.0
miconic-s12-0,40.0,40.0
miconic-s12-1,40.0,40.0
miconic-s12-2,39.0,39.0
miconic-s12-3,38.0,38.0
miconic-s12-4,41.0,41.0
miconic-s13-0,43.0,43.0
miconic-s13-1,41.0,41.0
miconic-s13-2,46.0,46.0
miconic-s13-3,43.0,43.0
miconic-s13-4,41.0,41.0
miconic-s14-0,45.0,45.0
miconic-s14-1,47.0,47.0
miconic-s14-2,49.0,49.0
miconic-s14-3,42.0,42.0
miconic-s14-4,45.0,45.0
miconic-s15-0,46.0,46.0
miconic-s15-1,49.0,49.0
miconic-s15-2,49.0,49.0
miconic-s15-3,50.0,50.0
miconic-s15-4,46.0,46.0
miconic-s16-0,53.0,53.0
miconic-s16-1,52.0,52.0
miconic-s16-2,54.0,54.0
miconic-s16-3,51.0,51.0
miconic-s16-4,53.0,53.0
miconic-s17-0,55.0,55.0
miconic-s17-1,54.0,54.0
miconic-s17-2,54.0,54.0
miconic-s17-3,59.0,59.0
miconic-s17-4,54.0,54.0
miconic-s18-0,59.0,59.0
miconic-s18-1,58.0,58.0
miconic-s18-2,58.0,58.0
miconic-s18-3,59.0,59.0
miconic-s18-4,56.0,56.0
miconic-s19-0,62.0,62.0
miconic-s19-1,65.0,65.0
miconic-s19-2,61.0,61.0
miconic-s19-3,63.0,63.0
miconic-s19-4,62.0,62.0
miconic-s2-0,7.0,7.0
miconic-s2-1,6.0,6.0
miconic-s2-2,6.0,6.0
miconic-s2-3,7.0,7.0
miconic-s2-4,6.0,6.0
miconic-s20-0,63.0,63.0
miconic-s20-1,66.0,66.0
miconic-s20-2,62.0,62.0
miconic-s20-3,63.0,63.0
miconic-s20-4,64.0,64.0
miconic-s21-0,69.0,69.0
miconic-s21-1,69.0,69.0
miconic-s21-2,69.0,69.0
miconic-s21-3,66.0,66.0
miconic-s21-4,70.0,70.0
miconic-s22-0,72.0,72.0
miconic-s22-1,70.0,70.0
miconic-s22-2,71.0,71.0
miconic-s22-3,75.0,75.0
miconic-s22-4,71.0,71.0
miconic-s23-0,75.0,75.0
miconic-s23-1,74.0,74.0
miconic-s23-2,73.0,73.0
miconic-s23-3,71.0,71.0
miconic-s23-4,74.0,74.0
miconic-s24-0,79.0,79.0
miconic-s24-1,78.0,78.0
miconic-s24-2,77.0,77.0
miconic-s24-3,79.0,79.0
miconic-s24-4,77.0,77.0
miconic-s25-0,81.0,81.0
miconic-s25-1,85.0,85.0
miconic-s25-2,78.0,78.0
miconic-s25-3,84.0,84.0
miconic-s25-4,82.0,82.0
miconic-s26-0,83.0,83.0
miconic-s26-1,83.0,83.0
miconic-s26-2,90.0,90.0
miconic-s26-3,88.0,88.0
miconic-s26-4,82.0,82.0
miconic-s27-0,87.0,87.0
miconic-s27-1,91.0,91.0
miconic-s27-2,87.0,87.0
miconic-s27-3,89.0,89.0
miconic-s27-4,88.0,88.0
miconic-s28-0,94.0,94.0
miconic-s28-1,92.0,92.0
miconic-s28-2,93.0,93.0
miconic-s28-3,87.0,87.0
miconic-s28-4,92.0,92.0
miconic-s29-0,94.0,94.0
miconic-s29-1,91.0,91.0
miconic-s29-2,95.0,95.0
miconic-s29-3,96.0,96.0
miconic-s29-4,99.0,99.0
miconic-s3-0,10.0,10.0
miconic-s3-1,10.0,10.0
miconic-s3-2,9.0,9.0
miconic-s3-3,9.0,9.0
miconic-s3-4,9.0,9.0
miconic-s30-0,95.0,95.0
miconic-s30-1,98.0,98.0
miconic-s30-2,96.0,96.0
miconic-s30-3,100.0,100.0
miconic-s30-4,99.0,99.0
miconic-s4-0,14.0,14.0
miconic-s4-1,13.0,13.0
miconic-s4-2,14.0,14.0
miconic-s4-3,14.0,14.0
miconic-s4-4,15.0,15.0
miconic-s5-0,17.0,17.0
miconic-s5-1,16.0,16.0
miconic-s5-2,14.0,14.0
miconic-s5-3,17.0,17.0
miconic-s5-4,17.0,17.0
miconic-s6-0,18.0,18.0
miconic-s6-1,19.0,19.0
miconic-s6-2,19.0,19.0
miconic-s6-3,18.0,18.0
miconic-s6-4,20.0,20.0
miconic-s7-0,23.0,23.0
miconic-s7-1,24.0,24.0
miconic-s7-2,22.0,22.0
miconic-s7-3,22.0,22.0
miconic-s7-4,25.0,25.0
miconic-s8-0,27.0,27.0
miconic-s8-1,26.0,26.0
miconic-s8-2,25.0,25.0
miconic-s8-3,27.0,27.0
miconic-s8-4,26.0,26.0
miconic-s9-0,30.0,30.0
miconic-s9-1,29.0,29.0
miconic-s9-2,29.0,29.0
miconic-s9-3,31.0,31.0
miconic-s9-4,27.0,27.0
movie-prob01,7.0,7.0
movie-prob02,7.0,7.0
movie-prob03,7.0,7.0
movie-prob04,7.0,7.0
movie-prob05,7.0,7.0
movie-prob06,7.0,7.0
movie-prob07,7.0,7.0
movie-prob08,7.0,7.0
movie-prob09,7.0,7.0
movie-prob10,7.0,7.0
movie-prob11,7.0,7.0
movie-prob12,7.0,7.0
movie-prob13,7.0,7.0
movie-prob14,7.0,7.0
movie-prob15,7.0,7.0
movie-prob16,7.0,7.0
movie-prob17,7.0,7.0
movie-prob18,7.0,7.0
movie-prob19,7.0,7.0
movie-prob20,7.0,7.0
movie-prob21,7.0,7.0
movie-prob22,7.0,7.0
movie-prob23,7.0,7.0
movie-prob24,7.0,7.0
movie-prob25,7.0,7.0
movie-prob26,7.0,7.0
movie-prob27,7.0,7.0
movie-prob28,7.0,7.0
movie-prob29,7.0,7.0
movie-prob30,7.0,7.0
mprime-prob01,5.0,5.0
mprime-prob02,7.0,7.0
mprime-prob03,4.0,4.0
mprime-prob04,7.0,7.0
mprime-prob05,8.0,8.0
mprime-prob06,11.0,11.0
mprime-prob07,5.0,5.0
mprime-prob08,5.0,5.0
mprime-prob09,8.0,8.0
mprime-prob10,7.0,7.0
mprime-prob11,7.0,7.0
mprime-prob12,5.0,5.0
mprime-prob13,11.0,11.0
mprime-prob14,9.0,9.0
mprime-prob15,6.0,6.0
mprime-prob16,5.0,5.0
mprime-prob17,4.0,4.0
mprime-prob18,14.0,14.0
mprime-prob19,5.0,5.0
mprime-prob20,7.0,7.0
mprime-prob21,4.0,4.0
mprime-prob22,9.0,9.0
mprime-prob23,8.0,8.0
mprime-prob24,6.0,6.0
mprime-prob25,4.0,4.0
mprime-prob26,6.0,6.0
mprime-prob27,5.0,5.0
mprime-prob28,7.0,7.0
mprime-prob29,4.0,4.0
mprime-prob30,8.0,8.0
mprime-prob31,4.0,4.0
mprime-prob32,5.0,5.0
mprime-prob33,8.0,8.0
mprime-prob34,4.0,4.0
mprime-prob35,4.0,4.0
mystery-prob01,5.0,5.0
mystery-prob02,7.0,7.0
mystery-prob03,4.0,4.0
mystery-prob04,7.0,7.0
mystery-prob05,8.0,8.0
mystery-prob06,11.0,11.0
mystery-prob07,1e+20,1e+20
mystery-prob08,5.0,5.0
mystery-prob09,8.0,8.0
mystery-prob10,7.0,7.0
mystery-prob11,7.0,7.0
mystery-prob12,5.0,5.0
mystery-prob13,11.0,11.0
mystery-prob14,9.0,9.0
mystery-prob15,6.0,6.0
mystery-prob16,5.0,5.0
mystery-prob17,4.0,4.0
mystery-prob18,1e+20,1e+20
mystery-prob19,5.0,5.0
mystery-prob20,7.0,7.0
mystery-prob21,4.0,4.0
mystery-prob22,10.0,10.0
mystery-prob23,11.0,11.0
mystery-prob24,10.0,10.0
mystery-prob25,4.0,4.0
mystery-prob26,6.0,6.0
mystery-prob27,5.0,5.0
mystery-prob28,7.0,7.0
mystery-prob29,4.0,4.0
mystery-prob30,8.0,8.0
nomystery-opt11-strips-p01,9.0,9.0
nomystery-opt11-strips-p02,11.0,11.0
nomystery-opt11-strips-p03,13.0,13.0
nomystery-opt11-strips-p04,16.0,16.0
nomystery-opt11-strips-p05,20.0,20.0
nomystery-opt11-strips-p06,23.0,23.0
nomystery-opt11-strips-p07,27.0,27.0
nomystery-opt11-strips-p08,29.0,29.0
nomystery-opt11-strips-p09,31.0,31.0
nomystery-opt11-strips-p10,33.0,33.0
nomystery-opt11-strips-p11,9.0,9.0
nomystery-opt11-strips-p12,11.0,11.0
nomystery-opt11-strips-p13,13.0,13.0
nomystery-opt11-strips-p14,16.0,16.0
nomystery-opt11-strips-p15,20.0,20.0
nomystery-opt11-strips-p16,23.0,23.0
nomystery-opt11-strips-p17,27.0,27.0
nomystery-opt11-strips-p18,29.0,29.0
nomystery-opt11-strips-p19,31.0,31.0
nomystery-opt11-strips-p20,33.0,33.0
nomystery-sat11-strips-p01,16.0,16.0
nomystery-sat11-strips-p02,18.0,18.0
nomystery-sat11-strips-p03,22.0,22.0
nomystery-sat11-strips-p04,25.0,25.0
nomystery-sat11-strips-p05,29.0,29.0
nomystery-sat11-strips-p06,31.0,31.0
nomystery-sat11-strips-p07,33.0,33.0
nomystery-sat11-strips-p08,35.0,35.0
nomystery-sat11-strips-p09,40.0,40.0
nomystery-sat11-strips-p10,41.0,41.0
nomystery-sat11-strips-p11,16.0,16.0
nomystery-sat11-strips-p12,18.0,18.0
nomystery-sat11-strips-p13,22.0,22.0
nomystery-sat11-strips-p14,25.0,25.0
nomystery-sat11-strips-p15,29.0,29.0
nomystery-sat11-strips-p16,31.0,31.0
nomystery-sat11-strips-p17,33.0,33.0
nomystery-sat11-strips-p18,35.0,35.0
nomystery-sat11-strips-p19,40.0,40.0
nomystery-sat11-strips-p20,41.0,41.0
openstacks-opt08-strips-p01,1.0,1.0
openstacks-opt08-strips-p02,1.0,1.0
openstacks-opt08-strips-p03,1.0,1.0
openstacks-opt08-strips-p04,1.0,1.0
openstacks-opt08-strips-p05,1.0,1.0
openstacks-opt08-strips-p06,1.0,1.0
openstacks-opt08-strips-p07,1.0,1.0
openstacks-opt08-strips-p08,1.0,1.0
openstacks-opt08-strips-p09,1.0,1.0
openstacks-opt08-strips-p10,1.0,1.0
openstacks-opt08-strips-p11,1.0,1.0
openstacks-opt08-strips-p12,1.0,1.0
openstacks-opt08-strips-p13,1.0,1.0
openstacks-opt08-strips-p14,1.0,1.0
openstacks-opt08-strips-p15,1.0,1.0
openstacks-opt08-strips-p16,1.0,1.0
openstacks-opt08-strips-p17,1.0,1.0
openstacks-opt08-strips-p18,1.0,1.0
openstacks-opt08-strips-p19,1.0,1.0
openstacks-opt08-strips-p20,1.0,1.0
openstacks-opt08-strips-p21,1.0,1.0
openstacks-opt08-strips-p22,1.0,1.0
openstacks-opt08-strips-p23,1.0,1.0
openstacks-opt08-strips-p24,1.0,1.0
openstacks-opt08-strips-p25,1.0,1.0
openstacks-opt08-strips-p26,1.0,1.0
openstacks-opt08-strips-p27,1.0,1.0
openstacks-opt08-strips-p28,1.0,1.0
openstacks-opt08-strips-p29,1.0,1.0
openstacks-opt08-strips-p30,1.0,1.0
openstacks-opt11-strips-p01,1.0,1.0
openstacks-opt11-strips-p02,1.0,1.0
openstacks-opt11-strips-p03,1.0,1.0
openstacks-opt11-strips-p04,1.0,1.0
openstacks-opt11-strips-p05,1.0,1.0
openstacks-opt11-strips-p06,1.0,1.0
openstacks-opt11-strips-p07,1.0,1.0
openstacks-opt11-strips-p08,1.0,1.0
openstacks-opt11-strips-p09,1.0,1.0
openstacks-opt11-strips-p10,1.0,1.0
openstacks-opt11-strips-p11,1.0,1.0
openstacks-opt11-strips-p12,1.0,1.0
openstacks-opt11-strips-p13,1.0,1.0
openstacks-opt11-strips-p14,1.0,1.0
openstacks-opt11-strips-p15,1.0,1.0
openstacks-opt11-strips-p16,1.0,1.0
openstacks-opt11-strips-p17,1.0,1.0
openstacks-opt11-strips-p18,1.0,1.0
openstacks-opt11-strips-p19,1.0,1.0
openstacks-opt11-strips-p20,1.0,1.0
openstacks-opt14-strips-p20_1,1.0,1.0
openstacks-opt14-strips-p20_2,1.0,1.0
openstacks-opt14-strips-p20_3,1.0,1.0
openstacks-opt14-strips-p25_1,1.0,1.0
openstacks-opt14-strips-p25_3,1.0,1.0
openstacks-opt14-strips-p30_1,1.0,1.0
openstacks-opt14-strips-p30_2,1.0,1.0
openstacks-opt14-strips-p30_3,1.0,1.0
openstacks-opt14-strips-p35_1,1.0,1.0
openstacks-opt14-strips-p35_2,1.0,1.0
openstacks-opt14-strips-p35_3,1.0,1.0
openstacks-opt14-strips-p40_1,1.0,1.0
openstacks-opt14-strips-p40_2,1.0,1.0
openstacks-opt14-strips-p40_3,1.0,1.0
openstacks-opt14-strips-p45_1,1.0,1.0
openstacks-opt14-strips-p45_2,1.0,1.0
openstacks-opt14-strips-p45_3,1.0,1.0
openstacks-opt14-strips-p50_1,1.0,1.0
openstacks-opt14-strips-p50_2,1.0,1.0
openstacks-opt14-strips-p50_3,1.0,1.0
openstacks-sat08-strips-p01,1.0,1.0
openstacks-sat08-strips-p02,1.0,1.0
openstacks-sat08-strips-p03,1.0,1.0
openstacks-sat08-strips-p04,1.0,1.0
openstacks-sat08-strips-p05,1.0,1.0
openstacks-sat08-strips-p06,1.0,1.0
openstacks-sat08-strips-p07,1.0,1.0
openstacks-sat08-strips-p08,1.0,1.0
openstacks-sat08-strips-p09,1.0,1.0
openstacks-sat08-strips-p10,1.0,1.0
openstacks-sat08-strips-p11,1.0,1.0
openstacks-sat08-strips-p12,1.0,1.0
openstacks-sat08-strips-p13,1.0,1.0
openstacks-sat08-strips-p14,1.0,1.0
openstacks-sat08-strips-p15,1.0,1.0
openstacks-sat08-strips-p16,1.0,1.0
openstacks-sat08-strips-p17,1.0,1.0
openstacks-sat08-strips-p18,1.0,1.0
openstacks-sat08-strips-p19,1.0,1.0
openstacks-sat08-strips-p20,1.0,1.0
openstacks-sat08-strips-p21,1.0,1.0
openstacks-sat08-strips-p22,1.0,1.0
openstacks-sat08-strips-p23,1.0,1.0
openstacks-sat08-strips-p24,1.0,1.0
openstacks-sat08-strips-p25,1.0,1.0
openstacks-sat08-strips-p26,1.0,1.0
openstacks-sat08-strips-p27,1.0,1.0
openstacks-sat08-strips-p28,1.0,1.0
openstacks-sat08-strips-p29,1.0,1.0
openstacks-sat08-strips-p30,1.0,1.0
openstacks-sat11-strips-p01,1.0,1.0
openstacks-sat11-strips-p02,1.0,1.0
openstacks-sat11-strips-p03,1.0,1.0
openstacks-sat11-strips-p04,1.0,1.0
openstacks-sat11-strips-p05,1.0,1.0
openstacks-sat11-strips-p06,1.0,1.0
openstacks-sat11-strips-p07,1.0,1.0
openstacks-sat11-strips-p08,1.0,1.0
openstacks-sat11-strips-p09,1.0,1.0
openstacks-sat11-strips-p10,1.0,1.0
openstacks-sat11-strips-p11,1.0,1.0
openstacks-sat11-strips-p12,1.0,1.0
openstacks-sat11-strips-p13,1.0,1.0
openstacks-sat11-strips-p14,1.0,1.0
openstacks-sat11-strips-p15,1.0,1.0
openstacks-sat11-strips-p16,1.0,1.0
openstacks-sat11-strips-p17,1.0,1.0
openstacks-sat11-strips-p18,1.0,1.0
openstacks-sat11-strips-p19,1.0,1.0
openstacks-sat11-strips-p20,1.0,1.0
openstacks-sat14-strips-p170_2,1.0,1.0
openstacks-sat14-strips-p170_3,1.0,1.0
openstacks-sat14-strips-p190_1,1.0,1.0
openstacks-sat14-strips-p190_2,1.0,1.0
openstacks-sat14-strips-p190_3,1.0,1.0
openstacks-sat14-strips-p210_1,1.0,1.0
openstacks-sat14-strips-p210_2,1.0,1.0
openstacks-sat14-strips-p210_3,1.0,1.0
openstacks-sat14-strips-p230_1,1.0,1.0
openstacks-sat14-strips-p230_2,1.0,1.0
openstacks-sat14-strips-p230_3,1.0,1.0
openstacks-sat14-strips-p250_1,1.0,1.0
openstacks-sat14-strips-p250_2,1.0,1.0
openstacks-sat14-strips-p250_3,1.0,1.0
openstacks-sat14-strips-p270_1,1.0,1.0
openstacks-sat14-strips-p270_2,1.0,1.0
openstacks-sat14-strips-p270_3,1.0,1.0
openstacks-sat14-strips-p290_1,1.0,1.0
openstacks-sat14-strips-p290_2,1.0,1.0
openstacks-sat14-strips-p290_3,1.0,1.0
openstacks-strips-p01,21.0,21.0
openstacks-strips-p02,21.0,21.0
openstacks-strips-p03,21.0,21.0
openstacks-strips-p04,21.0,21.0
openstacks-strips-p05,21.0,21.0
openstacks-strips-p06,41.0,41.0
openstacks-strips-p07,41.0,41.0
openstacks-strips-p08,81.0,81.0
openstacks-strips-p09,81.0,81.0
openstacks-strips-p10,81.0,81.0
openstacks-strips-p11,81.0,81.0
openstacks-strips-p12,81.0,81.0
openstacks-strips-p13,81.0,81.0
openstacks-strips-p14,81.0,81.0
openstacks-strips-p15,81.0,81.0
openstacks-strips-p16,81.0,81.0
openstacks-strips-p17,101.0,101.0
openstacks-strips-p18,169.0,169.0
openstacks-strips-p19,101.0,101.0
openstacks-strips-p20,121.0,121.0
openstacks-strips-p21,121.0,121.0
openstacks-strips-p22,121.0,121.0
openstacks-strips-p23,121.0,121.0
openstacks-strips-p24,201.0,201.0
openstacks-strips-p25,201.0,201.0
openstacks-strips-p26,201.0,201.0
openstacks-strips-p27,301.0,301.0
openstacks-strips-p28,401.0,401.0
openstacks-strips-p29,401.0,401.0
openstacks-strips-p30,401.0,401.0
organic-synthesis-opt18-strips-p01,1.0,1.0
organic-synthesis-opt18-strips-p02,1.0,1.0
organic-synthesis-opt18-strips-p03,2.0,2.0
organic-synthesis-opt18-strips-p07,2.0,2.0
organic-synthesis-opt18-strips-p09,2.0,2.0
organic-synthesis-opt18-strips-p10,2.0,2.0
organic-synthesis-opt18-strips-p11,2.0,2.0
organic-synthesis-opt18-strips-p12,2.0,2.0
organic-synthesis-opt18-strips-p14,2.0,2.0
organic-synthesis-sat18-strips-p06,2.0,2.0
organic-synthesis-sat18-strips-p07,2.0,2.0
organic-synthesis-sat18-strips-p16,6.0,6.0
organic-synthesis-split-opt18-strips-p01,41.0,41.0
organic-synthesis-split-opt18-strips-p02,41.0,41.0
organic-synthesis-split-opt18-strips-p03,247.0,247.0
organic-synthesis-split-opt18-strips-p04,239.0,239.0
organic-synthesis-split-opt18-strips-p05,122.0,122.0
organic-synthesis-split-opt18-strips-p06,247.0,247.0
organic-synthesis-split-opt18-strips-p07,189.0,189.0
organic-synthesis-split-opt18-strips-p08,234.0,234.0
organic-synthesis-split-opt18-strips-p09,47.0,47.0
